region,Household_capita,Household estimate (tonnes/year),Household_tonnes,Food_service_capita,Food service estimate (tonnes/year),Food_service_tonnes,Retail_capita,Retail estimate (tonnes/year),Retail_tonnes
Australia,102,2563110,2563,22,546340,546,9,238248,238
New Zealand,61,291769,292,26,122306,122,3,14923,15
Kazakhstan,76,1404584,1405,28,512910,513,16,290148,290
Kyrgyzstan,91,583951,584,28,177387,177,16,100346,100
Tajikistan,97,906209,906,28,257708,258,16,145783,146
Turkmenistan,76,449895,450,28,164288,164,16,92936,93
Uzbekistan,91,3001868,3002,28,911881,912,16,515841,516
China,64,91646212,91646,46,65377741,65378,16,22424705,22425
"China, Hong Kong SAR",71,530985,531,26,190147,190,13,95267,95
"China, Macao SAR",71,45728,46,26,16375,16,13,8204,8
North Korea,81,2070528,2071,28,709621,710,16,401425,401
Japan,64,8159891,8160,15,1870735,1871,9,1095308,1095
Mongolia,78,250173,250,28,89171,89,16,50443,50
South Korea,71,3657764,3658,26,1309852,1310,13,656263,656
Belarus,68,646356,646,28,261341,261,16,147838,148
Bulgaria,68,478667,479,28,193539,194,16,109483,109
Czechia,70,746840,747,26,273327,273,13,136943,137
Hungary,94,908669,909,26,247642,248,13,124074,124
Poland,56,2119455,2119,26,968807,969,13,485392,485
Moldova,76,307419,307,28,111789,112,16,63238,63
Romania,70,1352979,1353,26,495161,495,13,248086,248
Russia,33,4868564,4869,28,4033088,4033,14,2001062,2001
Slovakia,70,381273,381,26,139538,140,13,69911,70
Ukraine,76,3344904,3345,28,1216338,1216,16,688070,688
Anguilla,,,,,,,,,
Antigua,74,7178,7,26,2483,2,13,1244,1
Barbuda,74,7178,7,26,2483,2,13,1244,1
Argentina,72,3243563,3244,28,1238100,1238,16,700380,700
Aruba,74,7858,8,26,2718,3,13,1362,1
Bahamas,74,28792,29,26,9960,1,13,4990,5
Barbados,74,21215,21,26,7339,7,13,3677,4
Belize,53,20564,21,28,10794,11,16,6106,6
Bolivia,80,922012,922,28,318315,318,16,180068,180
Bonaire,,,,,,,,,
Brazil,60,12578308,12578,28,5835112,5835,16,3300862,3301
British Virgin Islands,74,2218,2,26,767,,13,384,
Cayman Islands,74,4797,5,26,1660,2,13,831,
Chile,74,1400946,1401,26,484611,485,13,242800,243
Colombia,70,3545499,3545,28,1391787,1392,16,787320,787
Costa Rica,72,365609,366,28,139556,140,16,78946,79
Cuba,72,820910,821,28,313349,313,16,177259,177
Curaçao,74,12079,12,26,4178,4,13,2093,2
Dominica,72,5201,5,28,1985,2,16,1123,1
Dominican Republic,72,777849,778,28,296913,297,16,167960,168
Ecuador,72,1258415,1258,28,480349,480,16,271729,272
El Salvador,80,516828,517,28,178430,178,16,100936,101
Falkland Islands,,,,,,,,,
French Guiana,,,,,,,,,
Grenada,72,8112,8,28,3097,3,16,1752,2
Guadeloupe,,,,,,,,,
Guatemala,72,1273466,1273,28,486095,486,16,274979,275
Guyana,72,56700,57,28,21643,22,16,12243,12
Haiti,83,936940,937,28,311403,311,16,176157,176
Honduras,80,780504,781,28,269461,269,16,152431,152
Jamaica,72,213552,214,28,81515,82,16,46112,46
Martinique,,,,,,,,,
Mexico,94,11979364,11979,28,3527217,3527,16,1995310,1995
Montserrat,,,,,,,,,
Nicaragua,80,524188,524,28,180970,181,16,102373,102
Panama,74,313897,314,26,108582,109,13,54402,54
Paraguay,72,510256,510,28,194770,195,16,110179,110
Peru,72,2354806,2355,28,898853,899,16,508472,508
Puerto Rico,74,216839,217,26,75008,75,13,37581,38
Saint Barthélemy,,,,,,,,,
Saint Kitts and Nevis,74,3903,4,26,1350,1,13,676,
Saint Lucia,72,13241,13,28,5054,5,16,2859,3
Saint Martin (French part),74,2809,3,26,972,,13,487,
